"Date","Air Temp Max (C)","Air Temp Min (C)","24-hour Total Precip (mm)","Season Total Precip (mm)","% of Precip as Snow","% of Precip as Rain","New Snow (cm)","Season Total Snow (cm)","Snowpack depth (cm)","Snow Water Equivalent (cm)","Remarks"
"1985-10-01","18.87","1.665","0","0","--","--","0","0","0","0",NA
"1985-10-02","18.315","3.885","0","0",NA,NA,"0","0","0","0",NA
"1985-10-03","22.755","7.215","0","0",NA,NA,"0","0","0","0",NA
"1985-10-04","23.865","5.55","0","0",NA,NA,"0","0","0","0",NA
"1985-10-05","21.645","3.885","0","0",NA,NA,"0","0","0","0",NA
"1985-10-06","8.325","3.885","12.192","12.192",NA,NA,"0","0","0","0",NA
"1985-10-07","6.66","1.11","3.302","15.494",NA,NA,"0","0","0","0",NA
"1985-10-08","1.665","-6.105","7.112","22.606",NA,NA,"2.54","2.54","2.54","--",NA
"1985-10-09","1.11","-8.325","0","22.606",NA,NA,"T","2.54","0","0",NA
"1985-10-10","12.21","-4.995","0","22.606",NA,NA,"0","2.54","0","0",NA
"1985-10-11","9.99","-2.22","0","22.606",NA,NA,"0","2.54","0","0",NA
"1985-10-12","11.655","-2.775","0","22.606",NA,NA,"0","2.54","0","0",NA
"1985-10-13","7.77","-2.775","0","22.606",NA,NA,"0","2.54","0","0",NA
"1985-10-14","13.32","0","0","22.606",NA,NA,"0","2.54","0","0",NA
"1985-10-15","16.65","-0.555","0","22.606",NA,NA,"0","2.54","0","0",NA
"1985-10-16","16.095","-2.775","0","22.606",NA,NA,"0","2.54","0","0",NA
"1985-10-17","17.205","-1.665","0","22.606",NA,NA,"0","2.54","0","0",NA
"1985-10-18","17.205","-1.11","0","22.606",NA,NA,"0","2.54","0","0",NA
"1985-10-19","14.43","-1.665","0","22.606",NA,NA,"0","2.54","0","0",NA
"1985-10-20","11.1","0","0","22.606",NA,NA,"0","2.54","0","0",NA
"1985-10-21","-1.11","-4.995","23.368","45.974",NA,NA,"27.94","30.48","48.26","--",NA
"1985-10-22","-0.555","-4.995","5.334","51.308",NA,NA,"T","30.48","20.32","--",NA
"1985-10-23","11.655","-1.11","2.54","53.848",NA,NA,"0","30.48","12.7","--",NA
"1985-10-24","12.765","-2.22","0","53.848",NA,NA,"0","30.48","T","--","patchy"
"1985-10-25","13.32","-3.33","0","53.848",NA,NA,"0","30.48","0","0",NA
"1985-10-26","16.65","-2.775","0","53.848",NA,NA,"0","30.48","0","0",NA
"1985-10-27","14.985","-1.665","0","53.848",NA,NA,"0","30.48","0","0",NA
"1985-10-28","13.32","-1.11","0","53.848",NA,NA,"0","30.48","0","0",NA
"1985-10-29","12.765","-2.775","0","53.848",NA,NA,"0","30.48","0","0",NA
"1985-10-30","8.88","-3.885","0","53.848",NA,NA,"0","30.48","0","0",NA
"1985-10-31","11.1","-4.44","0","53.848",NA,NA,"0","30.48","0","0",NA
