"Date","Air Temp Max (C)","Air Temp Min (C)","24-hour Total Precip (mm)","Season Total Precip (mm)","% of Precip as Snow","% of Precip as Rain","New Snow (cm)","Season Total Snow (cm)","Snowpack depth (cm)","Snow Water Equivalent (cm)","Remarks"
"1973-10-01","12.21","2.22","0","0","--","--","0","0","0","0",NA
"1973-10-02","12.21","-1.665","0","0",NA,NA,"0","0","0","0'0",NA
"1973-10-03","14.43","0","0","0",NA,NA,"0","0","0","0",NA
"1973-10-04","17.76","-1.11","0","0",NA,NA,"0","0","0","0",NA
"1973-10-05","14.43","-2.22","0","0",NA,NA,"0","0","0","0",NA
"1973-10-06","9.99","-0.555","0","0",NA,NA,"0","0","0","0",NA
"1973-10-07","1.11","-1.11","12.7","12.7",NA,NA,"1.27","1.27","1.27","--",NA
"1973-10-08","-1.11","-4.44","17.78","30.48",NA,NA,"7.62","8.89","7.62","--",NA
"1973-10-09","4.995","-2.775","5.588","36.068",NA,NA,"1.27","10.16","7.62","--",NA
"1973-10-10","8.325","-3.33","0","36.068",NA,NA,"0","10.16","--","--",NA
"1973-10-11","12.21","-3.33","0","36.068",NA,NA,"0","10.16","--","--",NA
"1973-10-12","17.76","-1.665","0","36.068",NA,NA,"0","10.16","--","--",NA
"1973-10-13","18.315","1.11","0","36.068",NA,NA,"0","10.16","--","--",NA
"1973-10-14","17.76","1.665","0","36.068",NA,NA,"0","10.16","--","--",NA
"1973-10-15","17.76","0.555","0","36.068",NA,NA,"0","10.16","0","0",NA
"1973-10-16","19.425","0.555","0","36.068",NA,NA,"0","10.16","0","0",NA
"1973-10-17","17.76","-1.11","0","36.068",NA,NA,"0","10.16","0","0",NA
"1973-10-18","15.54","-1.11","0","36.068",NA,NA,"0","10.16","0","0",NA
"1973-10-19","13.875","1.665","0","36.068",NA,NA,"0","10.16","0","0",NA
"1973-10-20","8.88","2.775","7.112","43.18",NA,NA,"0","10.16","0","0",NA
"1973-10-21","6.66","2.22","0","43.18",NA,NA,"0","10.16","0","0",NA
"1973-10-22","7.215","-4.44","0","43.18",NA,NA,"0","10.16","0","0",NA
"1973-10-23","-1.11","-6.66","62.23","105.41",NA,NA,"22.86","33.02","22.86","--",NA
"1973-10-24","8.88","-6.105","3.81","109.22",NA,NA,"1.27","34.29","17.78","--",NA
