"Date","Air Temp Max (C)","Air Temp Min (C)","24-hour Total Precip (mm)","Season Total Precip (mm)","% of Precip as Snow","% of Precip as Rain","New Snow (cm)","Season Total Snow (cm)","Snowpack depth (cm)","Snow Water Equivalent (cm)","Remarks"
"1971-10-01","8.325","-2.22","0","0","--","--","0","0","0","0",NA
"1971-10-02","12.765","0.555","0","0",NA,NA,"0","0","0","0",NA
"1971-10-03","15.54","0.555","0","0",NA,NA,"0","0","0","0",NA
"1971-10-04","19.425","2.775","0","0",NA,NA,"0","0","0","0",NA
"1971-10-05","21.645","3.33","0","0",NA,NA,"0","0","0","0",NA
"1971-10-06","22.2","7.215","0","0",NA,NA,"0","0","0","0",NA
"1971-10-07","22.2","4.995","0","0",NA,NA,"0","0","0","0",NA
"1971-10-08","23.865","4.44","0","0",NA,NA,"0","0","0","0",NA
"1971-10-09","23.865","4.44","0","0",NA,NA,"0","0","0","0",NA
"1971-10-10","22.2","3.33","0","0",NA,NA,"0","0","0","0",NA
"1971-10-11","23.31","4.995","0","0",NA,NA,"0","0","0","0",NA
"1971-10-12","23.865","4.44","0","0",NA,NA,"0","0","0","0",NA
"1971-10-13","21.645","4.995","0","0",NA,NA,"0","0","0","0",NA
"1971-10-14","15.54","-0.555","0","0",NA,NA,"0","0","0","0",NA
"1971-10-15","-0.555","-4.995","0","0",NA,NA,"0","0","0","0",NA
"1971-10-16","-2.775","-10.545","12.446","12.446",NA,NA,"5.08","5.08","5.08","--",NA
"1971-10-17","1.665","-9.99","15.494","27.94",NA,NA,"25.4","30.48","30.48","--",NA
"1971-10-18","4.44","-6.66","0","27.94",NA,NA,"1.27","31.75","25.4","--",NA
"1971-10-19","4.44","-1.665","0","27.94",NA,NA,"0","31.75","20.32","--",NA
"1971-10-20","6.66","-3.885","0","27.94",NA,NA,"0","31.75","15.24","--",NA
"1971-10-21","11.1","-2.775","0","27.94",NA,NA,"0","31.75","10.16","--",NA
"1971-10-22","10.545","-3.33","0","27.94",NA,NA,"0","31.75","5.08","--",NA
"1971-10-23","0.555","-4.995","3.81","31.75",NA,NA,"0","31.75","T","--","patches"
"1971-10-24","1.11","-5.55","1.778","33.528",NA,NA,"0","31.75","T","--","patches"
"1971-10-25","4.44","-5.55","0","33.528",NA,NA,"0","31.75","T","--","patches"
"1971-10-26","9.435","-1.665","0","33.528",NA,NA,"0","31.75","T","--","patches"
"1971-10-27","0","-13.32","1.27","34.798",NA,NA,"0","31.75","T","--","patches"
"1971-10-28","-4.44","-12.21","4.064","38.862",NA,NA,"5.08","36.83","5.08","--",NA
"1971-10-29","0","-10.545","0","38.862",NA,NA,"0","36.83","T","--","patches"
"1971-10-30","1.11","-10.545","1.778","40.64",NA,NA,"T","36.83","T","--","patches"
"1971-10-31","1.665","-6.66","0","40.64",NA,NA,"0","36.83","T","--","patches"
"1971-11-01","8.88","-2.22","0","41","--","--","0","36.8","0","0",NA
"1971-11-02","12.21","-3.885","0","41",NA,NA,"0","36.8","0","0",NA
"1971-11-03","16.095","-2.775","0","41",NA,NA,"0","36.8","0","0",NA
"1971-11-04","13.32","-3.885","0","41",NA,NA,"0","36.8","0","0",NA
"1971-11-05","8.325","-4.995","0","41",NA,NA,"0","36.8","0","0",NA
"1971-11-06","13.32","-1.11","0","41",NA,NA,"0","36.8","0","0",NA
"1971-11-07","8.325","-3.33","0","41",NA,NA,"0","36.8","0","0",NA
"1971-11-08","8.88","-2.775","0","41",NA,NA,"0","36.8","0","0",NA
"1971-11-09","8.88","1.665","0","41",NA,NA,"0","36.8","0","0",NA
"1971-11-10","10.545","1.665","0","41",NA,NA,"0","36.8","0","0",NA
"1971-11-11","3.885","-1.11","3.81","44.81",NA,NA,"0","36.8","0","0",NA
"1971-11-12","-1.665","-5.55","64.262","109.072",NA,NA,"27.94","64.74","27.94","--",NA
"1971-11-13","-2.775","-12.765","25.908","134.98",NA,NA,"22.86","87.6","40.64","--",NA
"1971-11-14","-1.11","-9.99","17.018","151.998",NA,NA,"5.08","92.68","43.18","--",NA
"1971-11-15","-3.33","-7.215","0","151.998",NA,NA,"0","92.68","38.1","--",NA
"1971-11-16","1.665","-9.435","0","151.998",NA,NA,"0","92.68","35.56","--",NA
"1971-11-17","3.33","-6.66","0","151.998",NA,NA,"0","92.68","33.02","--",NA
"1971-11-18","-1.665","-7.215","0","151.998",NA,NA,"0","92.68","31.75","--",NA
"1971-11-19","4.995","-6.105","0","151.998",NA,NA,"0","92.68","30.48","--",NA
"1971-11-20","7.215","-3.885","0","151.998",NA,NA,"0","92.68","--","--",NA
"1971-11-21","8.325","-3.885","0","151.998",NA,NA,"0","92.68","--","--",NA
"1971-11-22","7.77","-6.105","0","151.998",NA,NA,"0","92.68","21.59","--",NA
"1971-11-23","7.77","-4.995","0","151.998",NA,NA,"0","92.68","--","--",NA
"1971-11-24","2.22","-5.55","0","151.998",NA,NA,"0","92.68","--","--",NA
"1971-11-25","4.44","-4.995","0","151.998",NA,NA,"0","92.68","--","--",NA
"1971-11-26","1.665","-3.33","0","151.998",NA,NA,"0","92.68","--","--",NA
"1971-11-27","0","-3.33","29.21","181.208",NA,NA,"0","92.68","--","--",NA
"1971-11-28","-1.11","-3.33","16.51","197.718",NA,NA,"0","92.68","--","--",NA
"1971-11-29","-0.555","-7.215","15.748","213.466",NA,NA,"0","92.68","--","--",NA
"1971-11-30","-0.555","-11.1","3.302","216.768",NA,NA,"22.86","115.54","34.29","8.7376",NA
"1971-12-01","1.665","-7.215","0","217","--","--","--","115.5","--","--",NA
"1971-12-02","-4.995","-8.88","1.778","218.778",NA,NA,"5.08","120.58","--","--",NA
"1971-12-03","-5.55","-12.765","24.384","243.162",NA,NA,"30.48","151.06","64.6176","--",NA
"1971-12-04","-1.665","-8.325","8.128","251.29",NA,NA,"--","151.06","--","--",NA
"1971-12-05","4.995","-2.22","0.508","251.798",NA,NA,"--","151.06","59.69","--",NA
"1971-12-06","-0.555","-13.875","9.652","261.45",NA,NA,"8.89","159.95","58.42","--",NA
"1971-12-07","-8.325","-14.43","0","261.45",NA,NA,"--","159.95","--","--",NA
"1971-12-08","2.22","-13.875","0","261.45",NA,NA,"--","159.95","--","--",NA
"1971-12-09","-2.775","-9.99","8.128","269.578",NA,NA,"10.16","170.11","--","--",NA
"1971-12-10","-7.215","-11.655","11.43","281.008",NA,NA,"10.16","180.27","--","--",NA
"1971-12-11","-7.215","-12.21","7.112","288.12",NA,NA,"12.7","192.97","76.2","--",NA
"1971-12-12","-6.105","-19.425","17.018","305.138",NA,NA,"--","192.97","--","--",NA
"1971-12-13","-7.215","-12.765","23.622","328.76",NA,NA,"38.1","231.07","105.156","--",NA
"1971-12-14","-4.44","-19.425","0","328.76",NA,NA,"0","231.07","--","--",NA
"1971-12-15","-4.995","-18.315","5.08","333.84",NA,NA,"2.54","233.61","96.52","--",NA
"1971-12-16","-1.665","-13.32","0","333.84",NA,NA,"0","233.61","--","--",NA
"1971-12-17","3.33","-10.545","0","333.84",NA,NA,"0","233.61","--","--",NA
"1971-12-18","6.105","-11.655","0","333.84",NA,NA,"0","233.61","--","--",NA
"1971-12-19","4.995","-12.21","0","333.84",NA,NA,"0","233.61","--","--",NA
"1971-12-20","2.22","-11.655","0","333.84",NA,NA,"0","233.61","83.82","--",NA
"1971-12-21","-1.665","-6.105","3.81","337.65",NA,NA,"--","233.61","--","--",NA
"1971-12-22","-1.665","-8.325","54.61","392.26",NA,NA,"45.72","279.33","119.38","--",NA
"1971-12-23","-2.775","-6.66","50.292","442.552",NA,NA,"36.83","316.16","140.97","--",NA
"1971-12-24","-2.22","-6.66","17.78","460.332",NA,NA,"--","316.16","--","--",NA
"1971-12-25","-5.55","-12.765","109.474","569.806",NA,NA,"--","316.16","--","--",NA
"1971-12-26","-5.55","-13.32","38.862","608.668",NA,NA,"106.68","422.84","218.44","--",NA
"1971-12-27","-7.77","-13.32","2.032","610.7",NA,NA,"3.81","426.65","205.74","--",NA
"1971-12-28","-3.885","-11.655","1.524","612.224",NA,NA,"2.54","429.19","198.12","--",NA
"1971-12-29","-6.66","-16.65","2.794","615.018",NA,NA,"6.35","435.54","195.58","--",NA
"1971-12-30","-3.33","-13.32","1.27","616.288",NA,NA,"T","435.54","190.5","--",NA
"1971-12-31","-3.885","-11.655","0","616.288",NA,NA,"0","435.54","--","--",NA
"1972-01-01","1.665","-9.435","0","616","--","--","0","435.5","--","--",NA
"1972-01-02","4.995","-14.985","0","616",NA,NA,"0","435.5","--","--",NA
"1972-01-03","-7.77","-18.315","0","616",NA,NA,"0","435.5","165.1","44.196",NA
"1972-01-04","4.995","-14.985","0","616",NA,NA,"0","435.5","162.56","43.688",NA
"1972-01-05","5.55","-12.21","0","616",NA,NA,"0","435.5","--","--",NA
"1972-01-06","8.88","-8.88","0","616",NA,NA,"0","435.5","--","--",NA
"1972-01-07","2.775","-13.875","0","616",NA,NA,"0","435.5","--","--",NA
"1972-01-08","1.665","-13.875","0","616",NA,NA,"0","435.5","--","--",NA
"1972-01-09","5.55","-13.32","0","616",NA,NA,"0","435.5","--","--",NA
"1972-01-10","4.44","-10.545","0","616",NA,NA,"0","435.5","144.78","42.164",NA
"1972-01-11","3.33","-9.99","0","616",NA,NA,"0","435.5","--","--",NA
"1972-01-12","3.885","-7.215","0","616",NA,NA,"0","435.5","--","--",NA
"1972-01-13","7.77","-5.55","0","616",NA,NA,"0","435.5","--","--",NA
"1972-01-14","3.33","-9.435","0","616",NA,NA,"0","435.5","--","--",NA
"1972-01-15","9.99","-9.99","0","616",NA,NA,"0","435.5","--","--",NA
"1972-01-16","7.77","-9.435","0","616",NA,NA,"0","435.5","--","--",NA
"1972-01-17","7.77","-1.11","0","616",NA,NA,"0","435.5","130.175","--",NA
"1972-01-18","3.885","-0.555","0","616",NA,NA,"--","435.5","--","--",NA
"1972-01-19","1.665","-1.665","1.778","617.778",NA,NA,"2.54","438.04","--","--",NA
"1972-01-20","0.555","-1.11","9.652","627.43",NA,NA,"--","438.04","--","--",NA
"1972-01-21","0.555","-0.555","4.318","631.748",NA,NA,"10.16","448.2","--","--",NA
"1972-01-22","0","-3.885","8.89","640.638",NA,NA,"--","448.2","--","--",NA
