"Date","Air Temp Max (C)","Air Temp Min (C)","24-hour Total Precip (mm)","Season Total Precip (mm)","% of Precip as Snow","% of Precip as Rain","New Snow (cm)","Season Total Snow (cm)","Snowpack depth (cm)","Snow Water Equivalent (cm)","Remarks"
"1987-10-01","26.085","4.44","0","0",NA,NA,"0","0","0","0",NA
"1987-10-02","25.53","5.55","0","0",NA,NA,"0","0","0","0",NA
"1987-10-03","24.975","4.995","0","0",NA,NA,"0","0","0","0",NA
"1987-10-04","25.53","4.995","0","0",NA,NA,"0","0","0","0",NA
"1987-10-05","26.085","7.77","0","0",NA,NA,"0","0","0","0",NA
"1987-10-06","25.53","5.55","0","0",NA,NA,"0","0","0","0",NA
"1987-10-07","20.535","3.885","0","0",NA,NA,"0","0","0","0",NA
"1987-10-08","21.645","2.775","0","0",NA,NA,"0","0","0","0",NA
"1987-10-09","21.09","2.775","0","0",NA,NA,"0","0","0","0",NA
"1987-10-10","19.98","3.33","0","0",NA,NA,"0","0","0","0",NA
"1987-10-11","19.98","2.775","3.048","3.048",NA,"100","0","0","0","0",NA
"1987-10-12","11.1","2.775","9.906","12.954","25","75","0","0","0","0","hail"
"1987-10-13","17.205","0.555","0","12.954",NA,NA,"0","0","0","0",NA
"1987-10-14","19.425","-0.555","0","12.954",NA,NA,"0","0","0","0",NA
"1987-10-15","18.315","-0.555","0","12.954",NA,NA,"0","0","0","0",NA
"1987-10-16","17.76","0.555","0","12.954",NA,NA,"0","0","0","0",NA
"1987-10-17","19.425","-0.555","0","12.954",NA,NA,"0","0","0","0",NA
"1987-10-18","20.535","0.555","0","12.954",NA,NA,"0","0","0","0",NA
"1987-10-19","19.425","2.775","0","12.954",NA,NA,"0","0","0","0",NA
"1987-10-20","19.425","1.665","0","12.954",NA,NA,"0","0","0","0",NA
"1987-10-21","18.315","2.22","0","12.954",NA,NA,"0","0","0","0",NA
"1987-10-22","11.655","4.995","3.048","16.002","5","95","0","0","0","0","hail"
"1987-10-23","8.325","1.665","11.938","27.94",NA,"100","0","0","0","0",NA
"1987-10-24","13.875","0.555","4.064","32.004",NA,"100","0","0","0","0",NA
"1987-10-25","14.985","0.555","0.762","32.766",NA,"100","0","0","0","0",NA
"1987-10-26","16.095","2.775","0","32.766",NA,NA,"0","0","0","0",NA
"1987-10-27","16.65","3.885","0","32.766",NA,NA,"0","0","0","0",NA
"1987-10-28","12.765","2.22","5.08","37.846",NA,"100","0","0","0","0",NA
"1987-10-29","7.215","2.775","4.064","41.91",NA,"100","0","0","0","0",NA
"1987-10-30","12.21","1.11","3.048","44.958",NA,"100","0","0","0","0",NA
"1987-10-31","12.21","0.555","1.016","45.974",NA,"100","0","0","0","0",NA
"1987-11-01","6.66","1.665","3.81","50","25","75","0","0","0","0",NA
"1987-11-02","5.55","-0.555","0","50",NA,NA,"T","0","0","0",NA
"1987-11-03","6.66","1.665","0","50",NA,NA,"0","0","0","0",NA
"1987-11-04","11.655","3.885","0","50",NA,NA,"0","0","0","0",NA
"1987-11-05","9.99","1.11","0","50",NA,NA,"0","0","0","0",NA
"1987-11-06","3.33","1.11","2.032","52.032",NA,"100","0","0","0","0",NA
"1987-11-07","12.21","-1.11","0","52.032",NA,NA,"0","0","0","0",NA
"1987-11-08","12.765","-1.11","2.032","54.064",NA,"100","0","0","0","0",NA
"1987-11-09","10.545","0","5.08","59.144","95","5","T","0","0","0",NA
"1987-11-10","16.65","-1.11","0","59.144",NA,NA,"0","0","0","0",NA
"1987-11-11","16.65","-1.11","0","59.144",NA,NA,"0","0","0","0",NA
"1987-11-12","12.765","-1.11","0","59.144",NA,NA,"0","0","0","0",NA
"1987-11-13","3.885","0","37.846","96.99","95","5","11.43","11.43","2.54","--",NA
"1987-11-14","2.775","-5.55","1.016","98.006",NA,"100","0","11.43","--","--",NA
"1987-11-15","8.325","-7.215","1.016","99.022","50","50","0","11.43","--","--",NA
"1987-11-16","8.325","-0.555","0","99.022",NA,NA,"T","11.43","5.08","--",NA
"1987-11-17","4.44","0.555","10.922","109.944","40","60","2.54","13.97","6.35","--",NA
"1987-11-18","10.545","-1.665","0","109.944",NA,NA,"0","13.97","2.54","--",NA
"1987-11-19","11.655","-2.22","0","109.944",NA,NA,"0","13.97","0","0",NA
"1987-11-20","6.105","-2.22","13.97","123.914","95","5","7.62","21.59","0","0",NA
"1987-11-21","6.105","-4.995","0","123.914",NA,NA,"8.89","30.48","15.24","--",NA
"1987-11-22","7.215","-6.105","3.048","126.962","100",NA,"0","30.48","--","--",NA
"1987-11-23","7.77","-7.215","0","126.962",NA,NA,"T","30.48","5.08","--",NA
"1987-11-24","8.325","-3.885","1.016","127.978","100",NA,"0","30.48","3.81","--",NA
"1987-11-25","1.665","-4.44","0","127.978",NA,NA,"1.27","31.75","6.35","--",NA
"1987-11-26","6.66","-4.44","0","127.978",NA,NA,"0","31.75","2.54","--",NA
"1987-11-27","7.77","-4.44","0","127.978",NA,NA,"0","31.75","0","0",NA
"1987-11-28","6.105","-4.995","0","127.978",NA,NA,"0","31.75","0","0",NA
"1987-11-29","4.995","-6.66","0","127.978",NA,NA,"0","31.75","0","0",NA
"1987-11-30","3.33","-2.22","6.096","134.074","100",NA,"2.54","34.29",NA,"0",NA
"1987-12-01","3.885","2.22","24.892","159","60","40","10.16","44.5","13.97","--",NA
"1987-12-02","4.995","2.775","28.194","187.194","5","95","8.89","53.39","22.86","--",NA
"1987-12-03","9.99","2.775","0","187.194",NA,NA,"0","53.39","19.05","--",NA
"1987-12-04","8.88","2.22","2.032","189.226","100",NA,"0","53.39","17.78","--",NA
"1987-12-05","4.995","1.11","5.842","195.068",NA,"100","0","53.39","--","--",NA
"1987-12-06","4.44","-1.11","51.054","246.122","50","50","0","53.39","--","--",NA
"1987-12-07","-1.11","-4.44","10.922","257.044","100",NA,"21.59","74.98","43.18","11.176",NA
"1987-12-08","-1.665","-9.99","30.988","288.032","100",NA,"30.48","105.46","63.5","--",NA
"1987-12-09","4.44","-2.22","21.082","309.114","25","75","6.35","111.81","71.628","18.288",NA
"1987-12-10","4.995","0.555","11.938","321.052",NA,"100","0","111.81","58.42","16.002",NA
"1987-12-11","1.665","-7.215","0","321.052",NA,NA,"0","111.81","55.88","--",NA
"1987-12-12","-5.55","-9.435","0","321.052",NA,NA,"0","111.81","--","--",NA
"1987-12-13","-5.55","-11.655","T","321.052","100",NA,"T","111.81","--","--",NA
"1987-12-14","-0.555","-11.1","0","321.052",NA,NA,"0","111.81","48.514","15.24",NA
"1987-12-15","-3.33","-7.77","4.826","325.878","100",NA,"1.27","113.08","48.26","--",NA
"1987-12-16","-3.885","-6.66","20.066","345.944","100",NA,"24.13","137.21","64.008","16.002",NA
"1987-12-17","-1.11","-8.325","0","345.944",NA,NA,"2.54","139.75","69.85","--",NA
"1987-12-18","4.995","-10.545","5.08","351.024","100",NA,"0","139.75","66.294","18.034",NA
"1987-12-19","0","-11.655","0.508","351.532","100",NA,"6.35","146.1","--","--",NA
"1987-12-20","4.995","-12.765","0","351.532",NA,NA,"0","146.1","--","--",NA
"1987-12-21","4.995","-2.775","5.334","356.866","50","50","2.54","148.64","64.008","18.288",NA
"1987-12-22","0.555","-9.99","22.098","378.964","100",NA,"24.13","172.77","86.36","--",NA
"1987-12-23","-6.66","-13.32","0","378.964","100",NA,"T","172.77","81.28","19.812",NA
"1987-12-24","-8.88","-14.985","0","378.964",NA,NA,"0","172.77","77.47","20.574",NA
"1987-12-25","-3.33","4.44","0","378.964",NA,NA,"0","172.77","--","--",NA
"1987-12-26","6.66","-12.765","0","378.964",NA,NA,"0","172.77","--","--",NA
"1987-12-27","-0.555","-13.32","0","378.964",NA,NA,"0","172.77","--","--",NA
"1987-12-28","-3.33","-6.66","17.018","395.982","100",NA,"31.75","204.52","83.312","23.114",NA
"1987-12-29","-4.995","-8.88","6.858","402.84","100",NA,"52.07","256.59","142.24","--",NA
"1987-12-30","-2.775","-16.65","0","402.84",NA,NA,"2.54","259.13","130.81","28.956",NA
"1987-12-31","-2.22","-17.76","0","402.84",NA,NA,"0","259.13","121.92","--",NA
"1988-01-01","0","-11.1","0","403",NA,NA,"0","259.1","--","--",NA
"1988-01-02","0","-8.325","1.016","404.016","100",NA,"T","259.1","--","--",NA
"1988-01-03","0","-2.775","51.054","455.07","100",NA,"59.69","318.79","--","--",NA
"1988-01-04","1.11","-1.11","18.034","473.104","60","40","10.16","328.95","156.718","34.544",NA
"1988-01-05","0.555","-4.995","9.906","483.01","90","10","3.81","332.76","144.78","--",NA
"1988-01-06","1.665","-11.655","1.016","484.026","100",NA,"T","332.76","137.922","33.02",NA
"1988-01-07","0","-10.545","11.938","495.964","100",NA,"T","332.76","135.89","--",NA
"1988-01-08","-1.11","-3.885","7.112","503.076","100",NA,"19.05","351.81","149.86","40.64","?"
"1988-01-09","1.665","-2.22","11.938","515.014","40","60","5.08","356.89","--","--",NA
"1988-01-10","2.22","-1.11","25.908","540.922","100",NA,"--","356.89","--","--",NA
"1988-01-11","-1.665","-11.655","8.128","549.05","100",NA,"13.97","370.86","160.02","46.228",NA
"1988-01-12","3.33","-13.875","0","549.05",NA,NA,"0","370.86","153.67","--",NA
